cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,54,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,86,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,88,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,107,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,103,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,72,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,59,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,47,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,56,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,24,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,30,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,39,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,119,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,127,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,139,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,177,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,196,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,182,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,155,Accidentes
06,Colima,003,Comala,6200009438,Víctimas muertas en los accidentes de tránsito,1997,3,Víctimas
06,Colima,003,Comala,6200009438,Víctimas muertas en los accidentes de tránsito,1998,2,Víctimas
06,Colima,003,Comala,6200009438,Víctimas muertas en los accidentes de tránsito,1999,2,Víctimas
06,Colima,003,Comala,6200009438,Víctimas muertas en los accidentes de tránsito,2000,1,Víctimas
06,Colima,003,Comala,6200009438,Víctimas muertas en los accidentes de tránsito,2001,7,Víctimas
